,NTAName,total_foreign_born,Europe::Northern Europe,Europe::Western Europe,Europe::Southern Europe,Europe::Eastern Europe,Asia::Eastern Asia,Asia::South Central Asia,Asia::South Eastern Asia,Asia::Western Asia,Africa::Eastern Africa,Africa::Middle Africa,Africa::Northern Africa,Africa::Southern Africa,Africa::Western Africa,Oceania,Americas::Latin America,Americas::Latin America::Central America,Americas::Latin America::South America,Americas::Northern America,total_tract_pop,foreign_born_pct,total_foreign_born_pct,Europe::Northern Europe_pct,Europe::Western Europe_pct,Europe::Southern Europe_pct,Europe::Eastern Europe_pct,Asia::Eastern Asia_pct,Asia::South Central Asia_pct,Asia::South Eastern Asia_pct,Asia::Western Asia_pct,Africa::Eastern Africa_pct,Africa::Middle Africa_pct,Africa::Northern Africa_pct,Africa::Southern Africa_pct,Africa::Western Africa_pct,Oceania_pct,Americas::Latin America_pct,Americas::Latin America::Central America_pct,Americas::Latin America::South America_pct,Americas::Northern America_pct,foreign_born_pct_pct
143,Mapleton-Midwood (West),10417,217,298,479,2600,1601,1815,58,1178,0,16,136,15,86,0,1855,1249,422,63,37160,28.032831001076424,28.032831001076424,0.5839612486544672,0.8019375672766416,1.2890204520990312,6.996770721205597,4.308396124865447,4.884284176533908,0.15608180839612487,3.1700753498385357,0.0,0.04305705059203445,0.36598493003229277,0.040365984930032295,0.23143164693218515,0.0,4.991926803013993,3.361141011840689,1.1356297093649084,0.16953713670613563,0.07543818891570621
144,Marine Park-Mill Basin-Bergen Beach,12943,172,122,472,3558,2132,841,403,763,0,0,70,0,38,10,4274,385,791,52,44491,29.09127688746039,29.09127688746039,0.38659504169382575,0.27421276213166706,1.0608887190667775,7.997123013643209,4.791980400530444,1.8902699422355083,0.9058011732709986,1.7149535861185408,0.0,0.0,0.1573351913870221,0.0,0.08541053246724056,0.022476455912431727,9.60643725697332,0.8653435526286215,1.7778876626733497,0.11687757074464498,0.06538688023973475
145,Marine Park-Plumb Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
146,Mariner's Harbor-Arlington-Graniteville,9100,4,0,153,743,690,1375,706,75,10,15,361,0,1287,0,3520,1400,803,3,32812,27.733755942947703,27.733755942947703,0.012190661952944045,0.0,0.4662928197001097,2.2644154577593563,2.102889186882848,4.190540046324515,2.151651834694624,0.22857491161770083,0.030476654882360114,0.04571498232354017,1.1002072412532,0.0,3.922345483359747,0.0,10.72778251859076,4.266731683530415,2.447275387053517,0.009142996464708033,0.0845232108464821
147,Maspeth,17055,576,104,623,4863,2580,723,797,228,0,0,142,0,23,0,6231,1207,4231,84,42029,40.579123938233124,40.579123938233124,1.370482286040591,0.24744819053510672,1.4823098336862641,11.570582217040615,6.138618572890147,1.720240786123867,1.8963096909276926,0.5424825715577339,0.0,0.0,0.3378619524613957,0.0,0.0547241190606486,0.0,14.82547764638702,2.8718265959218634,10.066858597634965,0.1998620000475862,0.09655029607707326
148,McGuire Fields,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
149,Melrose,10014,0,0,0,56,32,44,38,0,65,114,0,11,1689,0,7947,2984,1005,18,40241,24.88506746850227,24.88506746850227,0.0,0.0,0.0,0.13916155165130092,0.07952088665788623,0.10934121915459358,0.0944310529062399,0.0,0.1615268010238314,0.28329315871871974,0.0,0.027335304788648394,4.197211798911558,0.0,19.748515195944435,7.415322680847892,2.4974528465992396,0.044730498745061006,0.06184008217614441
150,Middle Village,12980,360,113,917,3692,2001,854,443,111,6,0,429,8,0,0,3959,120,3208,65,34652,37.45815537342722,37.45815537342722,1.0389010735311093,0.32609950363615375,2.6463119011889646,10.654507676324599,5.774558467043749,2.4645042133210207,1.2784254877063372,0.3203278310054254,0.017315017892185154,0.0,1.2380237792912385,0.02308669052291354,0.0,0.0,11.425025972526837,0.3463003578437031,9.257762899688329,0.18757936049867252,0.10809810508319063
151,Middle Village Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
152,Midtown South-Flatiron-Union Square,7536,573,422,253,508,1971,804,472,266,17,11,0,110,57,100,1337,285,722,612,29670,25.399393326592516,25.399393326592516,1.9312436804853388,1.4223120997640715,0.8527131782945736,1.7121671722278395,6.643073811931243,2.709807886754297,1.5908324907313784,0.8965284799460734,0.05729693292888439,0.03707448601280755,0.0,0.3707448601280755,0.19211324570273003,0.3370407819346141,4.50623525446579,0.9605662285136503,2.4334344455679138,2.062689585439838,0.08560631387459561
