Arrest Date,1 Convicted Criminal,2 Pending Criminal Charges,3 Other Immigration Violator,1 Convicted Criminal (7-day avg),2 Pending Criminal Charges (7-day avg),3 Other Immigration Violator (7-day avg)
2024-06-01,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,5.428571428571429
2024-06-02,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,5.428571428571429
2024-06-03,0.0,4.0,9.0,0.7142857142857143,1.2857142857142858,6.714285714285714
2024-06-04,1.0,3.0,9.0,0.8571428571428571,1.4285714285714286,6.571428571428571
2024-06-05,5.0,0.0,8.0,1.5714285714285714,1.1428571428571428,6.428571428571429
2024-06-06,4.0,1.0,7.0,1.5714285714285714,1.1428571428571428,5.0
2024-06-07,0.0,0.0,4.0,1.4285714285714286,1.1428571428571428,5.285714285714286
2024-06-08,0.0,0.0,1.0,1.4285714285714286,1.1428571428571428,5.428571428571429
2024-06-09,0.0,0.0,0.0,1.4285714285714286,1.1428571428571428,5.428571428571429
2024-06-10,2.0,0.0,15.0,1.7142857142857142,0.5714285714285714,6.285714285714286
2024-06-11,1.0,0.0,11.0,1.7142857142857142,0.14285714285714285,6.571428571428571
2024-06-12,5.0,1.0,20.0,1.7142857142857142,0.2857142857142857,8.285714285714286
2024-06-13,4.0,1.0,9.0,1.7142857142857142,0.2857142857142857,8.571428571428571
2024-06-14,4.0,0.0,3.0,2.2857142857142856,0.2857142857142857,8.428571428571429
2024-06-15,0.0,0.0,0.0,2.2857142857142856,0.2857142857142857,8.285714285714286
2024-06-16,0.0,0.0,0.0,2.2857142857142856,0.2857142857142857,8.285714285714286
2024-06-17,0.0,0.0,15.0,2.0,0.2857142857142857,8.285714285714286
2024-06-18,2.0,2.0,5.0,2.142857142857143,0.5714285714285714,7.428571428571429
2024-06-19,0.0,0.0,0.0,1.4285714285714286,0.42857142857142855,4.571428571428571
2024-06-20,2.0,1.0,11.0,1.1428571428571428,0.42857142857142855,4.857142857142857
2024-06-21,3.0,1.0,3.0,1.0,0.5714285714285714,4.857142857142857
2024-06-22,0.0,0.0,0.0,1.0,0.5714285714285714,4.857142857142857
2024-06-23,0.0,0.0,0.0,1.0,0.5714285714285714,4.857142857142857
2024-06-24,1.0,0.0,18.0,1.1428571428571428,0.5714285714285714,5.285714285714286
