"Column Name","Label"
"B05006_164M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:"
"B05006_165E","Estimate!!Total:!!Americas:!!Latin America:!!South America:!!Argentina"
"B05006_165M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:!!Argentina"
"B05006_166E","Estimate!!Total:!!Americas:!!Latin America:!!South America:!!Bolivia"
"B05006_166M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:!!Bolivia"
"B05006_167E","Estimate!!Total:!!Americas:!!Latin America:!!South America:!!Brazil"
"B05006_167M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:!!Brazil"
"B05006_168E","Estimate!!Total:!!Americas:!!Latin America:!!South America:!!Chile"
"B05006_168M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:!!Chile"
"B05006_169E","Estimate!!Total:!!Americas:!!Latin America:!!South America:!!Colombia"
"B05006_169M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:!!Colombia"
"B05006_170E","Estimate!!Total:!!Americas:!!Latin America:!!South America:!!Ecuador"
"B05006_170M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:!!Ecuador"
"B05006_171E","Estimate!!Total:!!Americas:!!Latin America:!!South America:!!Guyana"
"B05006_171M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:!!Guyana"
"B05006_172E","Estimate!!Total:!!Americas:!!Latin America:!!South America:!!Peru"
"B05006_172M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:!!Peru"
"B05006_173E","Estimate!!Total:!!Americas:!!Latin America:!!South America:!!Uruguay"
"B05006_173M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:!!Uruguay"
"B05006_174E","Estimate!!Total:!!Americas:!!Latin America:!!South America:!!Venezuela"
"B05006_174M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:!!Venezuela"
"B05006_175E","Estimate!!Total:!!Americas:!!Latin America:!!South America:!!Other South America"
"B05006_175M","Margin of Error!!Total:!!Americas:!!Latin America:!!South America:!!Other South America"
"B05006_176E","Estimate!!Total:!!Americas:!!Northern America:"
"B05006_176M","Margin of Error!!Total:!!Americas:!!Northern America:"
"B05006_177E","Estimate!!Total:!!Americas:!!Northern America:!!Canada"
"B05006_177M","Margin of Error!!Total:!!Americas:!!Northern America:!!Canada"
"B05006_178E","Estimate!!Total:!!Americas:!!Northern America:!!Other Northern America"
"B05006_178M","Margin of Error!!Total:!!Americas:!!Northern America:!!Other Northern America"
