"Column Name","Label"
"B05006_037M","Margin of Error!!Total:!!Europe:!!Eastern Europe:!!Lithuania"
"B05006_038E","Estimate!!Total:!!Europe:!!Eastern Europe:!!Moldova"
"B05006_038M","Margin of Error!!Total:!!Europe:!!Eastern Europe:!!Moldova"
"B05006_039E","Estimate!!Total:!!Europe:!!Eastern Europe:!!North Macedonia (Macedonia)"
"B05006_039M","Margin of Error!!Total:!!Europe:!!Eastern Europe:!!North Macedonia (Macedonia)"
"B05006_040E","Estimate!!Total:!!Europe:!!Eastern Europe:!!Poland"
"B05006_040M","Margin of Error!!Total:!!Europe:!!Eastern Europe:!!Poland"
"B05006_041E","Estimate!!Total:!!Europe:!!Eastern Europe:!!Romania"
"B05006_041M","Margin of Error!!Total:!!Europe:!!Eastern Europe:!!Romania"
"B05006_042E","Estimate!!Total:!!Europe:!!Eastern Europe:!!Russia"
"B05006_042M","Margin of Error!!Total:!!Europe:!!Eastern Europe:!!Russia"
"B05006_043E","Estimate!!Total:!!Europe:!!Eastern Europe:!!Serbia"
"B05006_043M","Margin of Error!!Total:!!Europe:!!Eastern Europe:!!Serbia"
"B05006_044E","Estimate!!Total:!!Europe:!!Eastern Europe:!!Ukraine"
"B05006_044M","Margin of Error!!Total:!!Europe:!!Eastern Europe:!!Ukraine"
"B05006_045E","Estimate!!Total:!!Europe:!!Eastern Europe:!!Other Eastern Europe"
"B05006_045M","Margin of Error!!Total:!!Europe:!!Eastern Europe:!!Other Eastern Europe"
"B05006_046E","Estimate!!Total:!!Europe:!!Europe, n.e.c."
"B05006_046M","Margin of Error!!Total:!!Europe:!!Europe, n.e.c."
"B05006_047E","Estimate!!Total:!!Asia:"
"B05006_047M","Margin of Error!!Total:!!Asia:"
"B05006_048E","Estimate!!Total:!!Asia:!!Eastern Asia:"
"B05006_048M","Margin of Error!!Total:!!Asia:!!Eastern Asia:"
"B05006_049E","Estimate!!Total:!!Asia:!!Eastern Asia:!!China:"
"B05006_049M","Margin of Error!!Total:!!Asia:!!Eastern Asia:!!China:"
"B05006_050E","Estimate!!Total:!!Asia:!!Eastern Asia:!!China:!!China, excluding Hong Kong and Taiwan"
"B05006_050M","Margin of Error!!Total:!!Asia:!!Eastern Asia:!!China:!!China, excluding Hong Kong and Taiwan"
"B05006_051E","Estimate!!Total:!!Asia:!!Eastern Asia:!!China:!!Hong Kong"
"B05006_051M","Margin of Error!!Total:!!Asia:!!Eastern Asia:!!China:!!Hong Kong"
"B05006_052E","Estimate!!Total:!!Asia:!!Eastern Asia:!!China:!!Taiwan"
"B05006_052M","Margin of Error!!Total:!!Asia:!!Eastern Asia:!!China:!!Taiwan"
"B05006_053E","Estimate!!Total:!!Asia:!!Eastern Asia:!!Japan"
"B05006_053M","Margin of Error!!Total:!!Asia:!!Eastern Asia:!!Japan"
"B05006_054E","Estimate!!Total:!!Asia:!!Eastern Asia:!!Korea"
"B05006_054M","Margin of Error!!Total:!!Asia:!!Eastern Asia:!!Korea"
"B05006_055E","Estimate!!Total:!!Asia:!!Eastern Asia:!!Other Eastern Asia"
"B05006_055M","Margin of Error!!Total:!!Asia:!!Eastern Asia:!!Other Eastern Asia"
"B05006_056E","Estimate!!Total:!!Asia:!!South Central Asia:"
"B05006_056M","Margin of Error!!Total:!!Asia:!!South Central Asia:"
"B05006_057E","Estimate!!Total:!!Asia:!!South Central Asia:!!Afghanistan"
"B05006_057M","Margin of Error!!Total:!!Asia:!!South Central Asia:!!Afghanistan"
"B05006_058E","Estimate!!Total:!!Asia:!!South Central Asia:!!Bangladesh"
"B05006_058M","Margin of Error!!Total:!!Asia:!!South Central Asia:!!Bangladesh"
"B05006_059E","Estimate!!Total:!!Asia:!!South Central Asia:!!Bhutan"
"B05006_059M","Margin of Error!!Total:!!Asia:!!South Central Asia:!!Bhutan"
