"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US36005013000","Census Tract 130; Bronx County; New York","1329","407",
"1400000US36005013100","Census Tract 131; Bronx County; New York","5210","731",
"1400000US36005013200","Census Tract 132; Bronx County; New York","7126","906",
"1400000US36005013300","Census Tract 133; Bronx County; New York","5838","934",
"1400000US36005013500","Census Tract 135; Bronx County; New York","3295","699",
"1400000US36005013800","Census Tract 138; Bronx County; New York","2957","410",
"1400000US36005014100","Census Tract 141; Bronx County; New York","6864","794",
"1400000US36005014300","Census Tract 143; Bronx County; New York","1685","246",
"1400000US36005014400","Census Tract 144; Bronx County; New York","6465","812",
"1400000US36005014500","Census Tract 145; Bronx County; New York","6560","1496",
"1400000US36005014701","Census Tract 147.01; Bronx County; New York","5151","1164",
"1400000US36005014702","Census Tract 147.02; Bronx County; New York","4985","945",
"1400000US36005014900","Census Tract 149; Bronx County; New York","4755","1016",
"1400000US36005015100","Census Tract 151; Bronx County; New York","5414","993",
"1400000US36005015200","Census Tract 152; Bronx County; New York","2601","421",
"1400000US36005015300","Census Tract 153; Bronx County; New York","3502","616",
"1400000US36005015500","Census Tract 155; Bronx County; New York","3154","613",
"1400000US36005015700","Census Tract 157; Bronx County; New York","5959","893",
"1400000US36005015800","Census Tract 158; Bronx County; New York","1625","255",
"1400000US36005015900","Census Tract 159; Bronx County; New York","2153","477",
"1400000US36005016000","Census Tract 160; Bronx County; New York","4063","467",
"1400000US36005016100","Census Tract 161; Bronx County; New York","4789","657",
"1400000US36005016200","Census Tract 162; Bronx County; New York","1802","358",
"1400000US36005016300","Census Tract 163; Bronx County; New York","0","13",
"1400000US36005016400","Census Tract 164; Bronx County; New York","1107","253",
"1400000US36005016500","Census Tract 165; Bronx County; New York","1233","309",
"1400000US36005016600","Census Tract 166; Bronx County; New York","2387","368",
"1400000US36005016700","Census Tract 167; Bronx County; New York","3203","426",
"1400000US36005016900","Census Tract 169; Bronx County; New York","1759","214",
"1400000US36005017100","Census Tract 171; Bronx County; New York","0","13",
"1400000US36005017300","Census Tract 173; Bronx County; New York","5257","1086",
"1400000US36005017500","Census Tract 175; Bronx County; New York","6444","873",
"1400000US36005017701","Census Tract 177.01; Bronx County; New York","4566","678",
"1400000US36005017702","Census Tract 177.02; Bronx County; New York","5236","1002",
"1400000US36005017901","Census Tract 179.01; Bronx County; New York","4993","887",
"1400000US36005017902","Census Tract 179.02; Bronx County; New York","3571","868",
"1400000US36005018101","Census Tract 181.01; Bronx County; New York","3345","737",
"1400000US36005018102","Census Tract 181.02; Bronx County; New York","4903","858",
"1400000US36005018301","Census Tract 183.01; Bronx County; New York","4427","634",
"1400000US36005018302","Census Tract 183.02; Bronx County; New York","3301","607",
"1400000US36005018400","Census Tract 184; Bronx County; New York","3994","714",
"1400000US36005018501","Census Tract 185.01; Bronx County; New York","3154","564",
"1400000US36005018502","Census Tract 185.02; Bronx County; New York","6658","973",
"1400000US36005018900","Census Tract 189; Bronx County; New York","8375","1197",
"1400000US36005019300","Census Tract 193; Bronx County; New York","5751","1012",
"1400000US36005019400","Census Tract 194; Bronx County; New York","1966","355",
"1400000US36005019500","Census Tract 195; Bronx County; New York","7286","1577",
"1400000US36005019700","Census Tract 197; Bronx County; New York","7478","1058",
"1400000US36005019900","Census Tract 199; Bronx County; New York","7300","1198",
"1400000US36005020000","Census Tract 200; Bronx County; New York","4925","661",
"1400000US36005020100","Census Tract 201; Bronx County; New York","3950","559",
"1400000US36005020200","Census Tract 202; Bronx County; New York","2597","315",
"1400000US36005020400","Census Tract 204; Bronx County; New York","2966","585",
"1400000US36005020501","Census Tract 205.01; Bronx County; New York","7319","1185",
"1400000US36005020502","Census Tract 205.02; Bronx County; New York","2401","407",
"1400000US36005020601","Census Tract 206.01; Bronx County; New York","2547","507",
"1400000US36005020900","Census Tract 209; Bronx County; New York","5225","723",
"1400000US36005021001","Census Tract 210.01; Bronx County; New York","7519","983",
"1400000US36005021002","Census Tract 210.02; Bronx County; New York","7453","1502",
"1400000US36005021100","Census Tract 211; Bronx County; New York","6291","1102",
"1400000US36005021200","Census Tract 212; Bronx County; New York","5227","710",
"1400000US36005021301","Census Tract 213.01; Bronx County; New York","1244","585",
"1400000US36005021302","Census Tract 213.02; Bronx County; New York","5604","876",
"1400000US36005021501","Census Tract 215.01; Bronx County; New York","4612","1183",
"1400000US36005021502","Census Tract 215.02; Bronx County; New York","6953","1172",
"1400000US36005021601","Census Tract 216.01; Bronx County; New York","4865","801",
"1400000US36005021602","Census Tract 216.02; Bronx County; New York","6344","956",
"1400000US36005021700","Census Tract 217; Bronx County; New York","5100","817",
"1400000US36005021800","Census Tract 218; Bronx County; New York","6041","1067",
"1400000US36005021900","Census Tract 219; Bronx County; New York","1022","223",
"1400000US36005022000","Census Tract 220; Bronx County; New York","1901","414",
"1400000US36005022101","Census Tract 221.01; Bronx County; New York","3743","785",
"1400000US36005022102","Census Tract 221.02; Bronx County; New York","5896","794",
"1400000US36005022200","Census Tract 222; Bronx County; New York","3303","494",
"1400000US36005022300","Census Tract 223; Bronx County; New York","5207","795",
"1400000US36005022401","Census Tract 224.01; Bronx County; New York","2528","371",
"1400000US36005022403","Census Tract 224.03; Bronx County; New York","2788","461",
"1400000US36005022404","Census Tract 224.04; Bronx County; New York","4466","585",
"1400000US36005022500","Census Tract 225; Bronx County; New York","9408","1550",
"1400000US36005022701","Census Tract 227.01; Bronx County; New York","4995","538",
"1400000US36005022702","Census Tract 227.02; Bronx County; New York","1277","192",
"1400000US36005022703","Census Tract 227.03; Bronx County; New York","1728","628",
"1400000US36005022800","Census Tract 228; Bronx County; New York","5623","818",
"1400000US36005022901","Census Tract 229.01; Bronx County; New York","5541","788",
"1400000US36005022902","Census Tract 229.02; Bronx County; New York","3239","676",
"1400000US36005023000","Census Tract 230; Bronx County; New York","2555","456",
"1400000US36005023100","Census Tract 231; Bronx County; New York","1570","334",
"1400000US36005023200","Census Tract 232; Bronx County; New York","2462","366",
