"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US36005023301","Census Tract 233.01; Bronx County; New York","3742","702",
"1400000US36005023302","Census Tract 233.02; Bronx County; New York","3665","761",
"1400000US36005023501","Census Tract 235.01; Bronx County; New York","3322","594",
"1400000US36005023502","Census Tract 235.02; Bronx County; New York","4284","896",
"1400000US36005023600","Census Tract 236; Bronx County; New York","1602","371",
"1400000US36005023702","Census Tract 237.02; Bronx County; New York","1119","495",
"1400000US36005023703","Census Tract 237.03; Bronx County; New York","5081","929",
"1400000US36005023704","Census Tract 237.04; Bronx County; New York","3659","560",
"1400000US36005023800","Census Tract 238; Bronx County; New York","2394","383",
"1400000US36005023900","Census Tract 239; Bronx County; New York","9384","1885",
"1400000US36005024000","Census Tract 240; Bronx County; New York","4147","707",
"1400000US36005024100","Census Tract 241; Bronx County; New York","6284","1052",
"1400000US36005024300","Census Tract 243; Bronx County; New York","4401","821",
"1400000US36005024400","Census Tract 244; Bronx County; New York","2168","343",
"1400000US36005024501","Census Tract 245.01; Bronx County; New York","5043","630",
"1400000US36005024502","Census Tract 245.02; Bronx County; New York","3975","793",
"1400000US36005024600","Census Tract 246; Bronx County; New York","2117","275",
"1400000US36005024700","Census Tract 247; Bronx County; New York","1772","310",
"1400000US36005024800","Census Tract 248; Bronx County; New York","3528","594",
"1400000US36005024900","Census Tract 249; Bronx County; New York","0","13",
"1400000US36005025000","Census Tract 250; Bronx County; New York","2755","573",
"1400000US36005025100","Census Tract 251; Bronx County; New York","6542","916",
"1400000US36005025200","Census Tract 252; Bronx County; New York","2586","395",
"1400000US36005025300","Census Tract 253; Bronx County; New York","5589","847",
"1400000US36005025400","Census Tract 254; Bronx County; New York","1967","308",
"1400000US36005025500","Census Tract 255; Bronx County; New York","6565","1089",
"1400000US36005025600","Census Tract 256; Bronx County; New York","1664","384",
"1400000US36005025700","Census Tract 257; Bronx County; New York","1687","433",
"1400000US36005026100","Census Tract 261; Bronx County; New York","2109","292",
"1400000US36005026300","Census Tract 263; Bronx County; New York","6767","1070",
"1400000US36005026400","Census Tract 264; Bronx County; New York","5735","839",
"1400000US36005026500","Census Tract 265; Bronx County; New York","7792","1328",
"1400000US36005026601","Census Tract 266.01; Bronx County; New York","2864","424",
"1400000US36005026602","Census Tract 266.02; Bronx County; New York","5119","929",
"1400000US36005026701","Census Tract 267.01; Bronx County; New York","3759","886",
"1400000US36005026702","Census Tract 267.02; Bronx County; New York","7702","1092",
"1400000US36005026900","Census Tract 269; Bronx County; New York","4185","572",
"1400000US36005027300","Census Tract 273; Bronx County; New York","7120","1022",
"1400000US36005027401","Census Tract 274.01; Bronx County; New York","5111","715",
"1400000US36005027402","Census Tract 274.02; Bronx County; New York","3487","571",
"1400000US36005027600","Census Tract 276; Bronx County; New York","57","85",
"1400000US36005027700","Census Tract 277; Bronx County; New York","4188","675",
"1400000US36005027900","Census Tract 279; Bronx County; New York","8112","1399",
"1400000US36005028100","Census Tract 281; Bronx County; New York","3512","442",
"1400000US36005028300","Census Tract 283; Bronx County; New York","2486","981",
"1400000US36005028400","Census Tract 284; Bronx County; New York","480","49",
"1400000US36005028500","Census Tract 285; Bronx County; New York","3309","471",
"1400000US36005028600","Census Tract 286; Bronx County; New York","1014","212",
"1400000US36005028700","Census Tract 287; Bronx County; New York","3442","467",
"1400000US36005028800","Census Tract 288; Bronx County; New York","2678","737",
"1400000US36005028900","Census Tract 289; Bronx County; New York","4400","707",
"1400000US36005029301","Census Tract 293.01; Bronx County; New York","1847","195",
"1400000US36005029302","Census Tract 293.02; Bronx County; New York","5422","823",
"1400000US36005029500","Census Tract 295; Bronx County; New York","4639","972",
"1400000US36005029600","Census Tract 296; Bronx County; New York","2341","278",
"1400000US36005029700","Census Tract 297; Bronx County; New York","4171","405",
"1400000US36005030000","Census Tract 300; Bronx County; New York","6811","941",
"1400000US36005030100","Census Tract 301; Bronx County; New York","1570","173",
"1400000US36005030201","Census Tract 302.01; Bronx County; New York","3684","599",
"1400000US36005030202","Census Tract 302.02; Bronx County; New York","6152","1161",
"1400000US36005030701","Census Tract 307.01; Bronx County; New York","5492","949",
"1400000US36005030900","Census Tract 309; Bronx County; New York","3707","401",
"1400000US36005031000","Census Tract 310; Bronx County; New York","4409","624",
"1400000US36005031200","Census Tract 312; Bronx County; New York","1649","334",
"1400000US36005031400","Census Tract 314; Bronx County; New York","2186","348",
"1400000US36005031600","Census Tract 316; Bronx County; New York","1842","312",
"1400000US36005031800","Census Tract 318; Bronx County; New York","2038","392",
"1400000US36005031900","Census Tract 319; Bronx County; New York","762","36",
"1400000US36005032300","Census Tract 323; Bronx County; New York","4811","583",
"1400000US36005032400","Census Tract 324; Bronx County; New York","2963","557",
"1400000US36005032600","Census Tract 326; Bronx County; New York","3440","585",
"1400000US36005032800","Census Tract 328; Bronx County; New York","4056","588",
"1400000US36005033000","Census Tract 330; Bronx County; New York","5016","836",
"1400000US36005033201","Census Tract 332.01; Bronx County; New York","4123","643",
"1400000US36005033202","Census Tract 332.02; Bronx County; New York","3415","487",
"1400000US36005033400","Census Tract 334; Bronx County; New York","26","35",
"1400000US36005033500","Census Tract 335; Bronx County; New York","2213","201",
"1400000US36005033601","Census Tract 336.01; Bronx County; New York","5011","719",
"1400000US36005033602","Census Tract 336.02; Bronx County; New York","1155","298",
"1400000US36005033700","Census Tract 337; Bronx County; New York","2852","362",
"1400000US36005033801","Census Tract 338.01; Bronx County; New York","2119","519",
"1400000US36005033802","Census Tract 338.02; Bronx County; New York","1809","533",
"1400000US36005034000","Census Tract 340; Bronx County; New York","5337","851",
"1400000US36005034200","Census Tract 342; Bronx County; New York","1518","481",
"1400000US36005034300","Census Tract 343; Bronx County; New York","1854","298",
"1400000US36005034400","Census Tract 344; Bronx County; New York","1940","640",
"1400000US36005034500","Census Tract 345; Bronx County; New York","4155","656",
"1400000US36005034800","Census Tract 348; Bronx County; New York","6198","1156",
"1400000US36005035000","Census Tract 350; Bronx County; New York","2023","373",
"1400000US36005035100","Census Tract 351; Bronx County; New York","3723","463",
"1400000US36005035600","Census Tract 356; Bronx County; New York","2074","329",
"1400000US36005035800","Census Tract 358; Bronx County; New York","7495","1282",
"1400000US36005035900","Census Tract 359; Bronx County; New York","3261","475",
"1400000US36005036000","Census Tract 360; Bronx County; New York","2836","512",
"1400000US36005036100","Census Tract 361; Bronx County; New York","5093","959",
"1400000US36005036300","Census Tract 363; Bronx County; New York","6423","1089",
"1400000US36005036400","Census Tract 364; Bronx County; New York","2427","396",
"1400000US36005036501","Census Tract 365.01; Bronx County; New York","4721","765",
"1400000US36005036502","Census Tract 365.02; Bronx County; New York","2557","544",
"1400000US36005036700","Census Tract 367; Bronx County; New York","2647","410",
"1400000US36005036800","Census Tract 368; Bronx County; New York","2185","396",
"1400000US36005036901","Census Tract 369.01; Bronx County; New York","1810","347",
"1400000US36005036902","Census Tract 369.02; Bronx County; New York","2316","257",
"1400000US36005037000","Census Tract 370; Bronx County; New York","2228","474",
"1400000US36005037100","Census Tract 371; Bronx County; New York","3948","830",
"1400000US36005037200","Census Tract 372; Bronx County; New York","2069","395",
"1400000US36005037300","Census Tract 373; Bronx County; New York","6511","1327",
"1400000US36005037400","Census Tract 374; Bronx County; New York","3707","784",
"1400000US36005037504","Census Tract 375.04; Bronx County; New York","3831","516",
"1400000US36005037600","Census Tract 376; Bronx County; New York","1934","299",
"1400000US36005037800","Census Tract 378; Bronx County; New York","3254","629",
"1400000US36005037900","Census Tract 379; Bronx County; New York","6511","1239",
"1400000US36005038000","Census Tract 380; Bronx County; New York","4474","739",
"1400000US36005038100","Census Tract 381; Bronx County; New York","7378","1234",
"1400000US36005038200","Census Tract 382; Bronx County; New York","2942","447",
"1400000US36005038301","Census Tract 383.01; Bronx County; New York","4667","549",
"1400000US36005038303","Census Tract 383.03; Bronx County; New York","3621","805",
"1400000US36005038304","Census Tract 383.04; Bronx County; New York","2080","419",
"1400000US36005038500","Census Tract 385; Bronx County; New York","5574","828",
"1400000US36005038600","Census Tract 386; Bronx County; New York","8273","1390",
"1400000US36005038700","Census Tract 387; Bronx County; New York","3725","378",
"1400000US36005038800","Census Tract 388; Bronx County; New York","2793","476",
"1400000US36005038900","Census Tract 389; Bronx County; New York","5823","746",
"1400000US36005039000","Census Tract 390; Bronx County; New York","3093","746",
"1400000US36005039100","Census Tract 391; Bronx County; New York","6555","1130",
"1400000US36005039200","Census Tract 392; Bronx County; New York","1522","372",
"1400000US36005039300","Census Tract 393; Bronx County; New York","9019","1477",
"1400000US36005039400","Census Tract 394; Bronx County; New York","4473","651",
"1400000US36005039500","Census Tract 395; Bronx County; New York","4210","860",
